date,Reservoir,Rainfall,GW Level
2023-03-22,-0.0260737438472287,0.0167570252952402,0.8041596942553778
2023-03-23,-0.0482083617168989,1.73772587525177e-06,0.8473800138707833
2023-03-24,-0.0673926816285802,0.0832872863816029,0.8303310079269147
2023-03-25,-0.0818810125961889,0.0547191998764285,0.800947067159956
2023-03-26,-0.0903111112722385,0.0195524420695793,0.7942494405121218
2023-03-27,-0.0928545248636247,0.0928845727882239,0.8041237081781286
2023-03-28,-0.0900541724531112,0.0001051092931505,0.8364445981673568
2023-03-29,-0.0824046700725482,0.0465097451465636,0.846135123511237
2023-03-30,-0.0703885579910573,0.0480945564397252,0.8542870906375911
2023-03-31,-0.0544883764777605,0.0435537390008414,0.8433113208750777
2023-04-01,-0.0353606659834811,0.0014603252137906,0.8294427261449343
2023-04-02,-0.0143579676858486,0.1070160966278721,0.823636053010031
